# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
constater	34.01
détendre	33.98
rechercher	33.97
baigner	33.92
bénir	33.84
débrouiller	33.77
conseiller	33.52
mesurer	33.47
effrayer	33.45
fonctionner	33.45
essuyer	33.41
priver	33.38
dominer	33.13
noyer	32.94
appliquer	32.87
employer	32.84
viser	32.80
pisser	32.76
démarrer	32.50
répandre	32.36
reprocher	32.29
plier	32.29
opposer	32.10
gonfler	32.05
pointer	31.98
renverser	31.74
constituer	31.69
satisfaire	31.61
transporter	31.48
tarder	31.41
exécuter	31.40
frotter	31.33
méfier	31.32
emprunter	31.29
venger	31.09
punir	30.92
bloquer	30.86
composer	30.82
disputer	30.70
confirmer	30.68
cogner	30.63
jouir	30.62
repasser	30.55
exposer	30.30
efforcer	30.16
débarquer	30.02
sécher	29.95
entretenir	29.84
dissimuler	29.84
guetter	29.77
regagner	29.67
embarquer	29.63
informer	29.55
barrer	29.54
estimer	29.52
ôter	29.42
exercer	29.39
envoler	29.34
violer	29.31
user	29.29
épuiser	29.26
concentrer	29.25
craquer	29.20
repérer	29.19
mouiller	29.14
armer	29.11
percer	28.90
intervenir	28.87
préciser	28.80
identifier	28.72
incliner	28.68
dévorer	28.67
unir	28.65
saigner	28.34
réagir	28.32
consacrer	28.23
persuader	28.20
enfiler	28.14
emplir	28.06
imiter	28.02
nager	28.02
fondre	27.75
redevenir	27.73
signaler	27.71
décrocher	27.70
pourvoir	27.63
comporter	27.56
soumettre	27.54
enseigner	27.51
publier	27.50
puer	27.47
décevoir	27.46
consulter	27.34
entreprendre	27.31
exciter	27.28
voiler	27.26
soupçonner	27.23
suggérer	27.17
troubler	27.15
raccrocher	27.09
opérer	27.06
piger	26.87
vaincre	26.76
buter	26.74
suspendre	26.66
siffler	26.62
affronter	26.57
luire	26.50
fêter	26.49
tracer	26.43
vieillir	26.35
épargner	26.17
emparer	26.03
comparer	25.93
envelopper	25.85
justifier	25.78
chauffer	25.77
approuver	25.73
échouer	25.62
autoriser	25.58
rougir	25.55
guider	25.50
tailler	25.46
dérouler	25.41
augmenter	25.41
coiffer	25.41
déconner	25.41
soulager	25.34
fonder	25.31
tordre	25.31
gratter	25.31
parer	25.08
écrouler	25.03
témoigner	24.98
fréquenter	24.89
traduire	24.87
balayer	24.80
embêter	24.76
exagérer	24.75
